Preprocessing,Depth,n_components,Train Accuracy,Test Accuracy
clean_df_zscore - entropy - 2 pca:5 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,5,76.16279069767442,73.83720930232558
clean_df_zscore - gini - 2 pca:5 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,5,76.16279069767442,73.83720930232558
clean_df_zscore - entropy - 2 pca:4 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,4,76.16279069767442,73.83720930232558
clean_df_zscore - entropy - 2 pca:2 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,2,76.16279069767442,73.83720930232558
clean_df_zscore - entropy - 2 pca:7 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,7,76.16279069767442,73.83720930232558
clean_df_zscore - entropy - 2 pca:8 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,8,76.16279069767442,73.83720930232558
clean_df_zscore - gini - 2 pca:4 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,4,76.16279069767442,73.83720930232558
clean_df_zscore - gini - 2 pca:8 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,8,76.16279069767442,73.83720930232558
clean_df_zscore - gini - 2 pca:7 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,7,76.16279069767442,73.83720930232558
clean_df_zscore - gini - 2 pca:3 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,3,76.16279069767442,73.83720930232558
clean_df_zscore - gini - 2 pca:2 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,2,76.16279069767442,73.83720930232558
clean_df_zscore - gini - 2 pca:6 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,6,76.16279069767442,73.83720930232558
clean_df_iqr - entropy - 4 pca:4 -> Train: 81.00208768267223 - Test: 73.75,4,4,81.00208768267223,73.75
clean_df_iqr - entropy - 4 pca:3 -> Train: 81.00208768267223 - Test: 73.75,4,3,81.00208768267223,73.75
clean_df_iqr - gini - 6 pca:3 -> Train: 84.96868475991648 - Test: 73.75,6,3,84.96868475991648,73.75
clean_df_iqr - gini - 4 pca:3 -> Train: 80.58455114822547 - Test: 73.75,4,3,80.58455114822547,73.75
clean_df_iqr - gini - 3 pca:7 -> Train: 79.74947807933194 - Test: 73.75,3,7,79.74947807933194,73.75
df_iqr_scaled - entropy - 8 pca:3 -> Train: 84.34237995824635 - Test: 73.75,8,3,84.34237995824635,73.75
clean_df_iqr - entropy - 3 pca:7 -> Train: 79.74947807933194 - Test: 73.75,3,7,79.74947807933194,73.75
clean_df_iqr - gini - 3 pca:8 -> Train: 79.74947807933194 - Test: 73.75,3,8,79.74947807933194,73.75
clean_df_iqr - gini - 3 pca:6 -> Train: 79.74947807933194 - Test: 73.75,3,6,79.74947807933194,73.75
clean_df_iqr - entropy - 8 pca:5 -> Train: 91.8580375782881 - Test: 73.75,8,5,91.8580375782881,73.75
clean_df_iqr - entropy - 3 pca:8 -> Train: 79.74947807933194 - Test: 73.75,3,8,79.74947807933194,73.75
df_iqr_scaled - entropy - 6 pca:5 -> Train: 85.38622129436325 - Test: 73.75,6,5,85.38622129436325,73.75
df_iqr_scaled - entropy - 5 pca:3 -> Train: 77.66179540709813 - Test: 73.75,5,3,77.66179540709813,73.75
clean_df_iqr - entropy - 3 pca:6 -> Train: 79.74947807933194 - Test: 73.75,3,6,79.74947807933194,73.75
clean_df_iqr - gini - 3 pca:5 -> Train: 79.74947807933194 - Test: 73.75,3,5,79.74947807933194,73.75
clean_df_iqr - entropy - 3 pca:5 -> Train: 79.74947807933194 - Test: 73.75,3,5,79.74947807933194,73.75
clean_df_zscore - gini - 4 pca:2 -> Train: 80.03875968992247 - Test: 73.25581395348837,4,2,80.03875968992247,73.25581395348837
clean_df_zscore - entropy - 4 pca:2 -> Train: 79.26356589147287 - Test: 73.25581395348837,4,2,79.26356589147287,73.25581395348837
clean_df_iqr - entropy - 8 pca:4 -> Train: 87.68267223382045 - Test: 73.125,8,4,87.68267223382045,73.125
clean_df_iqr - entropy - 6 pca:4 -> Train: 83.7160751565762 - Test: 73.125,6,4,83.7160751565762,73.125
df_iqr_scaled - entropy - 7 pca:8 -> Train: 89.14405010438414 - Test: 73.125,7,8,89.14405010438414,73.125
df_iqr_scaled - entropy - 9 pca:3 -> Train: 86.63883089770354 - Test: 73.125,9,3,86.63883089770354,73.125
clean_df_iqr - entropy - 10 pca:5 -> Train: 96.24217118997912 - Test: 73.125,10,5,96.24217118997912,73.125
clean_df_iqr - entropy - 4 pca:7 -> Train: 80.3757828810021 - Test: 73.125,4,7,80.3757828810021,73.125
df_iqr_scaled - gini - 10 pca:6 -> Train: 99.37369519832986 - Test: 73.125,10,6,99.37369519832986,73.125
clean_df_iqr - entropy - 7 pca:5 -> Train: 87.2651356993737 - Test: 73.125,7,5,87.2651356993737,73.125
clean_df_iqr - entropy - 5 pca:3 -> Train: 82.04592901878914 - Test: 73.125,5,3,82.04592901878914,73.125
df_iqr_scaled - entropy - 9 pca:8 -> Train: 95.61586638830897 - Test: 73.125,9,8,95.61586638830897,73.125
clean_df_iqr - gini - 5 pca:8 -> Train: 86.63883089770354 - Test: 73.125,5,8,86.63883089770354,73.125
clean_df_iqr - gini - 6 pca:8 -> Train: 89.56158663883089 - Test: 73.125,6,8,89.56158663883089,73.125
clean_df_iqr - entropy - 4 pca:8 -> Train: 80.3757828810021 - Test: 73.125,4,8,80.3757828810021,73.125
clean_df_iqr - gini - 7 pca:1 -> Train: 76.82672233820459 - Test: 73.125,7,1,76.82672233820459,73.125
clean_df_iqr - gini - 5 pca:7 -> Train: 85.80375782881002 - Test: 73.125,5,7,85.80375782881002,73.125
clean_df_iqr - entropy - 6 pca:2 -> Train: 83.7160751565762 - Test: 73.125,6,2,83.7160751565762,73.125
clean_df_iqr - entropy - 4 pca:6 -> Train: 80.3757828810021 - Test: 73.125,4,6,80.3757828810021,73.125
clean_df_iqr - gini - 4 pca:2 -> Train: 80.3757828810021 - Test: 73.125,4,2,80.3757828810021,73.125
clean_df_iqr - gini - 5 pca:6 -> Train: 85.59498956158664 - Test: 73.125,5,6,85.59498956158664,73.125
df - entropy - 4 pca:6 -> Train: 79.6875 - Test: 72.91666666666666,4,6,79.6875,72.91666666666666
df_scaled - entropy - 16 pca:8 -> Train: 99.82638888888889 - Test: 72.91666666666666,16,8,99.82638888888889,72.91666666666666
df_scaled - entropy - 10 pca:6 -> Train: 93.40277777777779 - Test: 72.91666666666666,10,6,93.40277777777779,72.91666666666666
df - entropy - 4 pca:8 -> Train: 79.6875 - Test: 72.91666666666666,4,8,79.6875,72.91666666666666
df_scaled - entropy - 15 pca:8 -> Train: 99.47916666666666 - Test: 72.91666666666666,15,8,99.47916666666666,72.91666666666666
df_scaled - entropy - 12 pca:8 -> Train: 97.39583333333334 - Test: 72.91666666666666,12,8,97.39583333333334,72.91666666666666
df_scaled - entropy - 9 pca:8 -> Train: 93.57638888888889 - Test: 72.91666666666666,9,8,93.57638888888889,72.91666666666666
df_scaled - entropy - 7 pca:8 -> Train: 90.27777777777779 - Test: 72.91666666666666,7,8,90.27777777777779,72.91666666666666
df - entropy - 4 pca:7 -> Train: 79.6875 - Test: 72.91666666666666,4,7,79.6875,72.91666666666666
clean_df_iqr - gini - 4 pca:4 -> Train: 80.79331941544885 - Test: 72.5,4,4,80.79331941544885,72.5
clean_df_iqr - gini - 4 pca:8 -> Train: 81.41962421711901 - Test: 72.5,4,8,81.41962421711901,72.5
df_iqr_scaled - entropy - 11 pca:3 -> Train: 90.6054279749478 - Test: 72.5,11,3,90.6054279749478,72.5
df_iqr_scaled - gini - 1 pca:3 -> Train: 72.23382045929019 - Test: 72.5,1,3,72.23382045929019,72.5
clean_df_iqr - gini - 6 pca:6 -> Train: 88.72651356993737 - Test: 72.5,6,6,88.72651356993737,72.5
df_iqr_scaled - entropy - 8 pca:6 -> Train: 92.48434237995825 - Test: 72.5,8,6,92.48434237995825,72.5
df_iqr_scaled - entropy - 10 pca:6 -> Train: 96.65970772442589 - Test: 72.5,10,6,96.65970772442589,72.5
df_iqr_scaled - gini - 1 pca:8 -> Train: 72.23382045929019 - Test: 72.5,1,8,72.23382045929019,72.5
df_iqr_scaled - gini - 1 pca:1 -> Train: 72.23382045929019 - Test: 72.5,1,1,72.23382045929019,72.5
clean_df_iqr - gini - 5 pca:4 -> Train: 82.4634655532359 - Test: 72.5,5,4,82.4634655532359,72.5
clean_df_iqr - entropy - 12 pca:3 -> Train: 93.1106471816284 - Test: 72.5,12,3,93.1106471816284,72.5
clean_df_iqr - gini - 16 pca:3 -> Train: 100.0 - Test: 72.5,16,3,100.0,72.5
df_iqr_scaled - gini - 1 pca:7 -> Train: 72.23382045929019 - Test: 72.5,1,7,72.23382045929019,72.5
df_iqr_scaled - entropy - 7 pca:7 -> Train: 89.56158663883089 - Test: 72.5,7,7,89.56158663883089,72.5
df_iqr_scaled - entropy - 6 pca:7 -> Train: 86.22129436325679 - Test: 72.5,6,7,86.22129436325679,72.5
clean_df_iqr - gini - 4 pca:7 -> Train: 81.41962421711901 - Test: 72.5,4,7,81.41962421711901,72.5
clean_df_iqr - entropy - 4 pca:2 -> Train: 80.3757828810021 - Test: 72.5,4,2,80.3757828810021,72.5
df_iqr_scaled - gini - 1 pca:5 -> Train: 72.23382045929019 - Test: 72.5,1,5,72.23382045929019,72.5
clean_df_iqr - gini - 7 pca:2 -> Train: 87.89144050104383 - Test: 72.5,7,2,87.89144050104383,72.5
df_iqr_scaled - entropy - 20 pca:2 -> Train: 98.74739039665971 - Test: 72.5,20,2,98.74739039665971,72.5
df_iqr_scaled - entropy - 21 pca:2 -> Train: 99.16492693110646 - Test: 72.5,21,2,99.16492693110646,72.5
df_iqr_scaled - entropy - 22 pca:2 -> Train: 99.58246346555325 - Test: 72.5,22,2,99.58246346555325,72.5
df_iqr_scaled - entropy - 23 pca:2 -> Train: 99.58246346555325 - Test: 72.5,23,2,99.58246346555325,72.5
df_iqr_scaled - entropy - 24 pca:2 -> Train: 99.79123173277662 - Test: 72.5,24,2,99.79123173277662,72.5
df_iqr_scaled - entropy - 25 pca:2 -> Train: 99.79123173277662 - Test: 72.5,25,2,99.79123173277662,72.5
df_iqr_scaled - entropy - 26 pca:2 -> Train: 100.0 - Test: 72.5,26,2,100.0,72.5
df_iqr_scaled - gini - 1 pca:2 -> Train: 72.23382045929019 - Test: 72.5,1,2,72.23382045929019,72.5
clean_df_iqr - entropy - 9 pca:5 -> Train: 93.1106471816284 - Test: 72.5,9,5,93.1106471816284,72.5
clean_df_iqr - entropy - 11 pca:5 -> Train: 96.65970772442589 - Test: 72.5,11,5,96.65970772442589,72.5
clean_df_iqr - gini - 6 pca:5 -> Train: 88.51774530271399 - Test: 72.5,6,5,88.51774530271399,72.5
df_iqr_scaled - gini - 9 pca:5 -> Train: 97.4947807933194 - Test: 72.5,9,5,97.4947807933194,72.5
df_iqr_scaled - entropy - 14 pca:6 -> Train: 100.0 - Test: 72.5,14,6,100.0,72.5
df_iqr_scaled - gini - 1 pca:4 -> Train: 72.23382045929019 - Test: 72.5,1,4,72.23382045929019,72.5
df_iqr_scaled - gini - 1 pca:6 -> Train: 72.23382045929019 - Test: 72.5,1,6,72.23382045929019,72.5
clean_df_iqr - entropy - 9 pca:3 -> Train: 88.30897703549061 - Test: 72.5,9,3,88.30897703549061,72.5
clean_df_iqr - entropy - 11 pca:3 -> Train: 91.23173277661796 - Test: 72.5,11,3,91.23173277661796,72.5
df_scaled - entropy - 14 pca:7 -> Train: 99.30555555555556 - Test: 72.39583333333334,14,7,99.30555555555556,72.39583333333334
df_scaled - entropy - 7 pca:7 -> Train: 89.93055555555556 - Test: 72.39583333333334,7,7,89.93055555555556,72.39583333333334
df_scaled - entropy - 17 pca:8 -> Train: 100.0 - Test: 72.39583333333334,17,8,100.0,72.39583333333334
clean_df_zscore - entropy - 4 pca:4 -> Train: 80.81395348837209 - Test: 72.09302325581395,4,4,80.81395348837209,72.09302325581395
clean_df_zscore - entropy - 4 pca:5 -> Train: 81.2015503875969 - Test: 72.09302325581395,4,5,81.2015503875969,72.09302325581395
clean_df_iqr - entropy - 7 pca:7 -> Train: 91.23173277661796 - Test: 71.875,7,7,91.23173277661796,71.875
df_iqr_scaled - entropy - 7 pca:5 -> Train: 87.05636743215031 - Test: 71.875,7,5,87.05636743215031,71.875
clean_df_iqr - gini - 7 pca:3 -> Train: 87.05636743215031 - Test: 71.875,7,3,87.05636743215031,71.875
clean_df_iqr - gini - 5 pca:2 -> Train: 82.6722338204593 - Test: 71.875,5,2,82.6722338204593,71.875
clean_df_iqr - entropy - 7 pca:4 -> Train: 86.0125260960334 - Test: 71.875,7,4,86.0125260960334,71.875
df_iqr_scaled - entropy - 5 pca:7 -> Train: 84.13361169102296 - Test: 71.875,5,7,84.13361169102296,71.875
df_iqr_scaled - entropy - 10 pca:3 -> Train: 88.51774530271399 - Test: 71.875,10,3,88.51774530271399,71.875
clean_df_iqr - gini - 15 pca:3 -> Train: 99.37369519832986 - Test: 71.875,15,3,99.37369519832986,71.875
clean_df_iqr - gini - 4 pca:6 -> Train: 81.41962421711901 - Test: 71.875,4,6,81.41962421711901,71.875
df_iqr_scaled - entropy - 6 pca:6 -> Train: 86.22129436325679 - Test: 71.875,6,6,86.22129436325679,71.875
df_scaled - entropy - 8 pca:7 -> Train: 91.49305555555556 - Test: 71.875,8,7,91.49305555555556,71.875
clean_df_iqr - gini - 7 pca:7 -> Train: 91.8580375782881 - Test: 71.875,7,7,91.8580375782881,71.875
df_scaled - entropy - 10 pca:7 -> Train: 94.61805555555556 - Test: 71.875,10,7,94.61805555555556,71.875
df - entropy - 8 pca:8 -> Train: 94.09722222222221 - Test: 71.875,8,8,94.09722222222221,71.875
clean_df_iqr - entropy - 5 pca:5 -> Train: 82.6722338204593 - Test: 71.875,5,5,82.6722338204593,71.875
df_iqr_scaled - entropy - 5 pca:6 -> Train: 83.29853862212944 - Test: 71.875,5,6,83.29853862212944,71.875
df_iqr_scaled - entropy - 11 pca:2 -> Train: 84.34237995824635 - Test: 71.875,11,2,84.34237995824635,71.875
df_scaled - entropy - 9 pca:7 -> Train: 93.92361111111111 - Test: 71.875,9,7,93.92361111111111,71.875
clean_df_iqr - entropy - 12 pca:8 -> Train: 99.58246346555325 - Test: 71.875,12,8,99.58246346555325,71.875
df - entropy - 9 pca:8 -> Train: 96.00694444444444 - Test: 71.875,9,8,96.00694444444444,71.875
df_iqr_scaled - gini - 8 pca:5 -> Train: 95.82463465553236 - Test: 71.875,8,5,95.82463465553236,71.875
df_iqr_scaled - entropy - 5 pca:8 -> Train: 84.13361169102296 - Test: 71.875,5,8,84.13361169102296,71.875
df_iqr_scaled - gini - 10 pca:8 -> Train: 99.37369519832986 - Test: 71.875,10,8,99.37369519832986,71.875
clean_df_iqr - gini - 10 pca:5 -> Train: 97.7035490605428 - Test: 71.875,10,5,97.7035490605428,71.875
df - entropy - 15 pca:8 -> Train: 99.82638888888889 - Test: 71.875,15,8,99.82638888888889,71.875
clean_df_iqr - gini - 13 pca:8 -> Train: 100.0 - Test: 71.875,13,8,100.0,71.875
df_iqr_scaled - gini - 9 pca:7 -> Train: 97.4947807933194 - Test: 71.875,9,7,97.4947807933194,71.875
df_iqr_scaled - entropy - 11 pca:6 -> Train: 98.53862212943632 - Test: 71.875,11,6,98.53862212943632,71.875
df - entropy - 5 pca:6 -> Train: 84.375 - Test: 71.875,5,6,84.375,71.875
df_scaled - entropy - 8 pca:6 -> Train: 91.49305555555556 - Test: 71.875,8,6,91.49305555555556,71.875
df_iqr_scaled - gini - 8 pca:2 -> Train: 84.75991649269311 - Test: 71.875,8,2,84.75991649269311,71.875
df_iqr_scaled - gini - 5 pca:3 -> Train: 82.04592901878914 - Test: 71.875,5,3,82.04592901878914,71.875
df_iqr_scaled - entropy - 6 pca:8 -> Train: 86.22129436325679 - Test: 71.875,6,8,86.22129436325679,71.875
df_iqr_scaled - gini - 10 pca:5 -> Train: 98.53862212943632 - Test: 71.875,10,5,98.53862212943632,71.875
df_scaled - entropy - 18 pca:6 -> Train: 100.0 - Test: 71.875,18,6,100.0,71.875
clean_df_iqr - gini - 13 pca:3 -> Train: 97.91231732776617 - Test: 71.875,13,3,97.91231732776617,71.875
df_iqr_scaled - entropy - 13 pca:7 -> Train: 99.79123173277662 - Test: 71.875,13,7,99.79123173277662,71.875
df_scaled - entropy - 8 pca:8 -> Train: 91.66666666666666 - Test: 71.875,8,8,91.66666666666666,71.875
clean_df_iqr - gini - 14 pca:3 -> Train: 98.53862212943632 - Test: 71.875,14,3,98.53862212943632,71.875
df_scaled - entropy - 13 pca:6 -> Train: 97.74305555555556 - Test: 71.875,13,6,97.74305555555556,71.875
clean_df_iqr - gini - 8 pca:3 -> Train: 89.35281837160751 - Test: 71.875,8,3,89.35281837160751,71.875
clean_df_zscore - gini - 3 pca:2 -> Train: 77.90697674418605 - Test: 71.51162790697676,3,2,77.90697674418605,71.51162790697676
clean_df_zscore - gini - 5 pca:6 -> Train: 86.62790697674419 - Test: 71.51162790697676,5,6,86.62790697674419,71.51162790697676
clean_df_zscore - gini - 4 pca:4 -> Train: 81.0077519379845 - Test: 71.51162790697676,4,4,81.0077519379845,71.51162790697676
clean_df_zscore - entropy - 3 pca:2 -> Train: 77.90697674418605 - Test: 71.51162790697676,3,2,77.90697674418605,71.51162790697676
clean_df_zscore - gini - 4 pca:5 -> Train: 81.3953488372093 - Test: 71.51162790697676,4,5,81.3953488372093,71.51162790697676
clean_df_zscore - gini - 5 pca:2 -> Train: 81.2015503875969 - Test: 71.51162790697676,5,2,81.2015503875969,71.51162790697676
df - entropy - 5 pca:8 -> Train: 85.06944444444444 - Test: 71.35416666666666,5,8,85.06944444444444,71.35416666666666
df - gini - 2 pca:6 -> Train: 75.69444444444444 - Test: 71.35416666666666,2,6,75.69444444444444,71.35416666666666
df - gini - 1 pca:6 -> Train: 75.69444444444444 - Test: 71.35416666666666,1,6,75.69444444444444,71.35416666666666
df - gini - 1 pca:5 -> Train: 75.69444444444444 - Test: 71.35416666666666,1,5,75.69444444444444,71.35416666666666
df - gini - 1 pca:4 -> Train: 75.69444444444444 - Test: 71.35416666666666,1,4,75.69444444444444,71.35416666666666
df_scaled - entropy - 16 pca:6 -> Train: 99.82638888888889 - Test: 71.35416666666666,16,6,99.82638888888889,71.35416666666666
